"","x"
"233","pain"
"234","pandemic"
"235","particles"
"236","partners"
"237","pathogens"
"238","patient"
"239","patient under investigation"
"240","patient volume"
"241","patient's blood"
"242","patient's body fluids"
"243","patient's stool"
"244","patient's symptoms"
"245","patients"
"246","people"
"247","persistent"
"248","persistent pain"
"249","person"
"250","person under investigation"
"251","person-to-person transmission"
"252","persons"
"253","pets"
"254","phones"
"255","pneumonia"
"256","pneumonia in both lungs"
"257","positive"
"258","pressure in chest"
"259","protection"
"260","providers"
"261","proximity"
"262","public health emergency of international concern"
"263","rapid"
"264","rapid pneumonic onset"
"265","rapidly"
"266","rate"
"267","respiratory"
"268","respiratory droplets"
"269","respiratory illness"
"270","respiratory pathogens"
"271","respiratory secretions"
"272","respiratory specimens"
"273","respiratory symptoms"
"274","respiratory tract specimens"
"275","restaurants"
"276","retirement"
"277","retirement home"
"278","runny"
"279","runny nose"
"280","saliva"
"281","saliva droplets"
"282","SARS-CoV"
"283","secretions"
"284","senior"
"285","severe"
"286","severe muscle pain"
"287","severely"
"288","severely ill"
"289","shake"
"290","shared"
"291","shared spaces"
"292","ship"
"293","shock"
"294","shortness"
"295","shortness of breath"
"296","sicker"
"297","skilled"
"298","skilled nursing facility"
"299","sneeze"
"300","sneezing"
"301","social"
"302","social gathering"
"303","social visit"
"304","soiled"
"305","soiled items"
"306","sore"
"307","sore throat"
"308","spaces"
"309","specimens"
"310","spread"
"311","spread of infection"
"312","spreading"
"313","spreading rapidly"
"314","spreads"
"315","sputum"
"316","stool"
"317","sudden"
"318","sudden increase"
"319","supply"
"320","surfaces"
"321","surge"
"322","surge capacity"
"323","suspected"
"324","suspected COVID-19"
"325","swelling"
"326","symptom"
"327","symptomatic"
"328","symptoms"
"329","syndrome"
"330","system"
"331","tables"
"332","tabletops"
"333","tablets"
"334","temperature"
"335","tested"
"336","tested positive"
"337","tests"
"338","tests positive"
"339","throat"
"340","tiredness"
"341","toilets"
"342","touch"
"343","touch face"
"344","touched"
"345","touched surfaces"
"346","towels"
"347","tract"
"348","transmission"
"349","underlying"
"350","underlying conditions"
"351","underlying health condition"
"352","underlying health conditions"
"353","unexpected"
"354","unexpected increase"
"355","unwashed"
"356","unwashed hands"
"357","upper"
"358","upper respiratory illness"
"359","urine"
"360","utensils"
"361","utilization"
"362","venues"
"363","virus"
"364","virus spreads"
"365","visit"
"366","volume"
"367","vomit"
"368","weakens"
"369","weeks"
